survey_response_id,user_id,survey_id,optimal_allocation,completed,response_created_at,comparisons
5449,123,1,"[25, 25, 50]",1,2024-09-26 11:25:27,"[{'pair_number': 1, 'option_1': [50, 30, 20], 'option_2': [10, 60, 30], 'user_choice': 1}, {'pair_number': 2, 'option_1': [45, 45, 10], 'option_2': [50, 40, 10], 'user_choice': 1}, {'pair_number': 3, 'option_1': [45, 45, 10], 'option_2': [25, 65, 10], 'user_choice': 1}, {'pair_number': 4, 'option_1': [25, 50, 25], 'option_2': [40, 35, 25], 'user_choice': 1}, {'pair_number': 5, 'option_1': [50, 45, 5], 'option_2': [5, 90, 5], 'user_choice': 1}, {'pair_number': 6, 'option_1': [50, 45, 5], 'option_2': [45, 50, 5], 'user_choice': 1}, {'pair_number': 7, 'option_1': [5, 90, 5], 'option_2': [45, 50, 5], 'user_choice': 1}, {'pair_number': 8, 'option_1': [20, 25, 55], 'option_2': [30, 30, 40], 'user_choice': 1}, {'pair_number': 9, 'option_1': [45, 25, 30], 'option_2': [15, 40, 45], 'user_choice': 1}, {'pair_number': 10, 'option_1': [15, 40, 45], 'option_2': [35, 30, 35], 'user_choice': 1}]"
5450,200,1,"[25, 25, 50]",1,2024-09-26 14:31:49,"[{'pair_number': 1, 'option_1': [5, 35, 60], 'option_2': [50, 30, 20], 'user_choice': 1}, {'pair_number': 2, 'option_1': [5, 35, 60], 'option_2': [50, 40, 10], 'user_choice': 1}, {'pair_number': 3, 'option_1': [5, 35, 60], 'option_2': [65, 20, 15], 'user_choice': 1}, {'pair_number': 4, 'option_1': [5, 35, 60], 'option_2': [5, 55, 40], 'user_choice': 1}, {'pair_number': 5, 'option_1': [5, 35, 60], 'option_2': [30, 55, 15], 'user_choice': 1}, {'pair_number': 6, 'option_1': [50, 30, 20], 'option_2': [5, 55, 40], 'user_choice': 1}, {'pair_number': 7, 'option_1': [50, 40, 10], 'option_2': [65, 20, 15], 'user_choice': 1}, {'pair_number': 8, 'option_1': [50, 40, 10], 'option_2': [5, 55, 40], 'user_choice': 1}, {'pair_number': 9, 'option_1': [65, 20, 15], 'option_2': [5, 55, 40], 'user_choice': 1}, {'pair_number': 10, 'option_1': [65, 20, 15], 'option_2': [30, 55, 15], 'user_choice': 1}]"
5451,300,1,"[25, 25, 50]",1,2024-09-26 14:44:29,"[{'pair_number': 1, 'option_1': [40, 30, 30], 'option_2': [10, 45, 45], 'user_choice': 1}, {'pair_number': 2, 'option_1': [40, 30, 30], 'option_2': [45, 20, 35], 'user_choice': 1}, {'pair_number': 3, 'option_1': [40, 30, 30], 'option_2': [40, 10, 50], 'user_choice': 1}, {'pair_number': 4, 'option_1': [10, 45, 45], 'option_2': [45, 20, 35], 'user_choice': 1}, {'pair_number': 5, 'option_1': [10, 45, 45], 'option_2': [50, 30, 20], 'user_choice': 1}, {'pair_number': 6, 'option_1': [10, 45, 45], 'option_2': [40, 10, 50], 'user_choice': 1}, {'pair_number': 7, 'option_1': [10, 45, 45], 'option_2': [40, 35, 25], 'user_choice': 1}, {'pair_number': 8, 'option_1': [45, 20, 35], 'option_2': [40, 10, 50], 'user_choice': 1}, {'pair_number': 9, 'option_1': [50, 30, 20], 'option_2': [40, 10, 50], 'user_choice': 1}, {'pair_number': 10, 'option_1': [40, 10, 50], 'option_2': [40, 20, 40], 'user_choice': 1}]"
5452,123,2,"[5, 95]",1,2024-09-30 13:03:51,"[{'pair_number': 1, 'option_1': [80, 20], 'option_2': [0, 100], 'user_choice': 1}, {'pair_number': 2, 'option_1': [30, 70], 'option_2': [0, 100], 'user_choice': 2}, {'pair_number': 3, 'option_1': [90, 10], 'option_2': [0, 100], 'user_choice': 2}, {'pair_number': 4, 'option_1': [70, 30], 'option_2': [0, 100], 'user_choice': 1}, {'pair_number': 5, 'option_1': [60, 40], 'option_2': [0, 100], 'user_choice': 2}, {'pair_number': 6, 'option_1': [55, 45], 'option_2': [0, 100], 'user_choice': 1}, {'pair_number': 7, 'option_1': [65, 35], 'option_2': [0, 100], 'user_choice': 2}, {'pair_number': 8, 'option_1': [35, 65], 'option_2': [0, 100], 'user_choice': 1}, {'pair_number': 9, 'option_1': [50, 50], 'option_2': [0, 100], 'user_choice': 2}, {'pair_number': 10, 'option_1': [0, 100], 'option_2': [15, 85], 'user_choice': 1}]"
5453,200,2,"[20, 80]",1,2024-09-30 13:04:46,"[{'pair_number': 1, 'option_1': [55, 45], 'option_2': [0, 100], 'user_choice': 1}, {'pair_number': 2, 'option_1': [90, 10], 'option_2': [0, 100], 'user_choice': 1}, {'pair_number': 3, 'option_1': [0, 100], 'option_2': [85, 15], 'user_choice': 2}, {'pair_number': 4, 'option_1': [0, 100], 'option_2': [75, 25], 'user_choice': 2}, {'pair_number': 5, 'option_1': [0, 100], 'option_2': [40, 60], 'user_choice': 1}, {'pair_number': 6, 'option_1': [0, 100], 'option_2': [70, 30], 'user_choice': 1}, {'pair_number': 7, 'option_1': [0, 100], 'option_2': [80, 20], 'user_choice': 2}, {'pair_number': 8, 'option_1': [0, 100], 'option_2': [50, 50], 'user_choice': 2}, {'pair_number': 9, 'option_1': [0, 100], 'option_2': [95, 5], 'user_choice': 2}, {'pair_number': 10, 'option_1': [0, 100], 'option_2': [60, 40], 'user_choice': 2}]"
5454,300,2,"[50, 50]",1,2024-09-30 13:05:16,"[{'pair_number': 1, 'option_1': [80, 20], 'option_2': [20, 80], 'user_choice': 2}, {'pair_number': 2, 'option_1': [95, 5], 'option_2': [5, 95], 'user_choice': 2}, {'pair_number': 3, 'option_1': [60, 40], 'option_2': [40, 60], 'user_choice': 2}, {'pair_number': 4, 'option_1': [65, 35], 'option_2': [35, 65], 'user_choice': 2}, {'pair_number': 5, 'option_1': [70, 30], 'option_2': [30, 70], 'user_choice': 2}, {'pair_number': 6, 'option_1': [15, 85], 'option_2': [85, 15], 'user_choice': 2}, {'pair_number': 7, 'option_1': [0, 100], 'option_2': [100, 0], 'user_choice': 2}, {'pair_number': 8, 'option_1': [75, 25], 'option_2': [25, 75], 'user_choice': 2}, {'pair_number': 9, 'option_1': [45, 55], 'option_2': [55, 45], 'user_choice': 2}, {'pair_number': 10, 'option_1': [10, 90], 'option_2': [90, 10], 'user_choice': 2}]"
5455,678910,1,"[100, 0, 0]",1,2024-10-06 10:39:00,"[{'pair_number': 1, 'option_1': [35, 35, 30], 'option_2': [35, 30, 35], 'user_choice': 1}, {'pair_number': 2, 'option_1': [35, 35, 30], 'option_2': [35, 25, 40], 'user_choice': 1}, {'pair_number': 3, 'option_1': [25, 40, 35], 'option_2': [25, 35, 40], 'user_choice': 1}, {'pair_number': 4, 'option_1': [25, 40, 35], 'option_2': [25, 30, 45], 'user_choice': 1}, {'pair_number': 5, 'option_1': [25, 40, 35], 'option_2': [25, 55, 20], 'user_choice': 1}, {'pair_number': 6, 'option_1': [40, 40, 20], 'option_2': [40, 45, 15], 'user_choice': 1}, {'pair_number': 7, 'option_1': [25, 35, 40], 'option_2': [25, 30, 45], 'user_choice': 1}, {'pair_number': 8, 'option_1': [25, 35, 40], 'option_2': [25, 55, 20], 'user_choice': 1}, {'pair_number': 9, 'option_1': [30, 60, 10], 'option_2': [30, 15, 55], 'user_choice': 1}, {'pair_number': 10, 'option_1': [35, 30, 35], 'option_2': [35, 25, 40], 'user_choice': 1}]"
5456,415263456,1,"[5, 95, 0]",1,2024-10-06 11:47:40,"[{'pair_number': 1, 'option_1': [45, 20, 35], 'option_2': [25, 20, 55], 'user_choice': 1}, {'pair_number': 2, 'option_1': [45, 20, 35], 'option_2': [75, 20, 5], 'user_choice': 1}, {'pair_number': 3, 'option_1': [25, 20, 55], 'option_2': [75, 20, 5], 'user_choice': 1}, {'pair_number': 4, 'option_1': [40, 30, 30], 'option_2': [20, 30, 50], 'user_choice': 1}, {'pair_number': 5, 'option_1': [40, 30, 30], 'option_2': [25, 30, 45], 'user_choice': 1}, {'pair_number': 6, 'option_1': [40, 30, 30], 'option_2': [45, 30, 25], 'user_choice': 1}, {'pair_number': 7, 'option_1': [20, 30, 50], 'option_2': [25, 30, 45], 'user_choice': 1}, {'pair_number': 8, 'option_1': [20, 30, 50], 'option_2': [45, 30, 25], 'user_choice': 1}, {'pair_number': 9, 'option_1': [25, 30, 45], 'option_2': [45, 30, 25], 'user_choice': 1}, {'pair_number': 10, 'option_1': [20, 5, 75], 'option_2': [90, 5, 5], 'user_choice': 1}]"
5457,5456354,1,"[100, 0, 0]",1,2024-10-06 11:49:02,"[{'pair_number': 1, 'option_1': [25, 55, 20], 'option_2': [25, 25, 50], 'user_choice': 1}, {'pair_number': 2, 'option_1': [10, 10, 80], 'option_2': [10, 55, 35], 'user_choice': 1}, {'pair_number': 3, 'option_1': [20, 10, 70], 'option_2': [20, 65, 15], 'user_choice': 1}, {'pair_number': 4, 'option_1': [20, 10, 70], 'option_2': [20, 45, 35], 'user_choice': 1}, {'pair_number': 5, 'option_1': [40, 35, 25], 'option_2': [40, 45, 15], 'user_choice': 1}, {'pair_number': 6, 'option_1': [50, 20, 30], 'option_2': [50, 10, 40], 'user_choice': 1}, {'pair_number': 7, 'option_1': [50, 20, 30], 'option_2': [50, 25, 25], 'user_choice': 1}, {'pair_number': 8, 'option_1': [50, 10, 40], 'option_2': [50, 25, 25], 'user_choice': 1}, {'pair_number': 9, 'option_1': [20, 65, 15], 'option_2': [20, 45, 35], 'user_choice': 1}, {'pair_number': 10, 'option_1': [30, 40, 30], 'option_2': [30, 50, 20], 'user_choice': 1}]"
5458,888,1,"[100, 0, 0]",1,2024-10-06 12:15:48,"[{'pair_number': 1, 'option_1': [25, 55, 20], 'option_2': [25, 30, 45], 'user_choice': 1}, {'pair_number': 2, 'option_1': [25, 55, 20], 'option_2': [25, 40, 35], 'user_choice': 1}, {'pair_number': 3, 'option_1': [35, 35, 30], 'option_2': [35, 15, 50], 'user_choice': 1}, {'pair_number': 4, 'option_1': [35, 35, 30], 'option_2': [35, 30, 35], 'user_choice': 1}, {'pair_number': 5, 'option_1': [30, 50, 20], 'option_2': [30, 25, 45], 'user_choice': 1}, {'pair_number': 6, 'option_1': [35, 15, 50], 'option_2': [35, 30, 35], 'user_choice': 1}, {'pair_number': 7, 'option_1': [25, 30, 45], 'option_2': [25, 40, 35], 'user_choice': 1}, {'pair_number': 8, 'option_1': [50, 35, 15], 'option_2': [50, 40, 10], 'user_choice': 1}, {'pair_number': 9, 'option_1': [50, 35, 15], 'option_2': [50, 45, 5], 'user_choice': 1}, {'pair_number': 10, 'option_1': [50, 40, 10], 'option_2': [50, 45, 5], 'user_choice': 1}]"
5459,777,1,"[0, 100, 0]",1,2024-10-06 12:16:33,"[{'pair_number': 1, 'option_1': [35, 55, 10], 'option_2': [15, 55, 30], 'user_choice': 2}, {'pair_number': 2, 'option_1': [55, 35, 10], 'option_2': [40, 35, 25], 'user_choice': 2}, {'pair_number': 3, 'option_1': [55, 35, 10], 'option_2': [20, 35, 45], 'user_choice': 2}, {'pair_number': 4, 'option_1': [15, 5, 80], 'option_2': [65, 5, 30], 'user_choice': 2}, {'pair_number': 5, 'option_1': [40, 35, 25], 'option_2': [20, 35, 45], 'user_choice': 2}, {'pair_number': 6, 'option_1': [30, 40, 30], 'option_2': [55, 40, 5], 'user_choice': 2}, {'pair_number': 7, 'option_1': [35, 30, 35], 'option_2': [45, 30, 25], 'user_choice': 2}, {'pair_number': 8, 'option_1': [35, 30, 35], 'option_2': [55, 30, 15], 'user_choice': 2}, {'pair_number': 9, 'option_1': [35, 30, 35], 'option_2': [50, 30, 20], 'user_choice': 2}, {'pair_number': 10, 'option_1': [45, 30, 25], 'option_2': [55, 30, 15], 'user_choice': 2}]"
5460,756,1,"[100, 0, 0]",1,2024-10-07 10:19:35,"[{'pair_number': 1, 'option_1': [35, 25, 40], 'option_2': [35, 35, 30], 'user_choice': 1}, {'pair_number': 2, 'option_1': [35, 25, 40], 'option_2': [35, 60, 5], 'user_choice': 2}, {'pair_number': 3, 'option_1': [35, 25, 40], 'option_2': [35, 10, 55], 'user_choice': 1}, {'pair_number': 4, 'option_1': [35, 25, 40], 'option_2': [35, 45, 20], 'user_choice': 2}, {'pair_number': 5, 'option_1': [35, 35, 30], 'option_2': [35, 60, 5], 'user_choice': 1}, {'pair_number': 6, 'option_1': [35, 35, 30], 'option_2': [35, 10, 55], 'user_choice': 2}, {'pair_number': 7, 'option_1': [35, 35, 30], 'option_2': [35, 45, 20], 'user_choice': 1}, {'pair_number': 8, 'option_1': [20, 55, 25], 'option_2': [20, 60, 20], 'user_choice': 2}, {'pair_number': 9, 'option_1': [35, 60, 5], 'option_2': [35, 10, 55], 'user_choice': 1}, {'pair_number': 10, 'option_1': [35, 60, 5], 'option_2': [35, 45, 20], 'user_choice': 2}]"
5461,1,1,"[5, 95, 0]",1,2024-10-28 17:17:00,"[{'pair_number': 1, 'option_1': [40, 55, 5], 'option_2': [35, 55, 10], 'user_choice': 1}, {'pair_number': 2, 'option_1': [40, 55, 5], 'option_2': [0, 85, 15], 'user_choice': 2}, {'pair_number': 3, 'option_1': [35, 50, 15], 'option_2': [0, 85, 15], 'user_choice': 2}, {'pair_number': 4, 'option_1': [40, 10, 50], 'option_2': [0, 85, 15], 'user_choice': 2}, {'pair_number': 5, 'option_1': [80, 5, 15], 'option_2': [0, 85, 15], 'user_choice': 2}, {'pair_number': 6, 'option_1': [10, 70, 20], 'option_2': [0, 85, 15], 'user_choice': 2}, {'pair_number': 7, 'option_1': [35, 55, 10], 'option_2': [0, 85, 15], 'user_choice': 2}, {'pair_number': 8, 'option_1': [0, 85, 15], 'option_2': [5, 15, 80], 'user_choice': 2}, {'pair_number': 9, 'option_1': [0, 85, 15], 'option_2': [15, 65, 20], 'user_choice': 1}, {'pair_number': 10, 'option_1': [0, 85, 15], 'option_2': [5, 80, 15], 'user_choice': 2}]"
5462,81,1,"[60, 20, 20]",1,2024-10-29 11:40:57,"[{'pair_number': 1, 'option_1': [40, 45, 15], 'option_2': [35, 20, 45], 'user_choice': 1}, {'pair_number': 2, 'option_1': [40, 45, 15], 'option_2': [50, 40, 10], 'user_choice': 2}, {'pair_number': 3, 'option_1': [40, 45, 15], 'option_2': [55, 10, 35], 'user_choice': 1}, {'pair_number': 4, 'option_1': [40, 45, 15], 'option_2': [65, 25, 10], 'user_choice': 2}, {'pair_number': 5, 'option_1': [30, 30, 40], 'option_2': [50, 40, 10], 'user_choice': 1}, {'pair_number': 6, 'option_1': [30, 30, 40], 'option_2': [55, 10, 35], 'user_choice': 2}, {'pair_number': 7, 'option_1': [30, 30, 40], 'option_2': [65, 25, 10], 'user_choice': 1}, {'pair_number': 8, 'option_1': [35, 20, 45], 'option_2': [50, 40, 10], 'user_choice': 2}, {'pair_number': 9, 'option_1': [35, 20, 45], 'option_2': [55, 10, 35], 'user_choice': 1}, {'pair_number': 10, 'option_1': [50, 40, 10], 'option_2': [55, 10, 35], 'user_choice': 2}]"
5463,810,1,"[70, 30, 0]",1,2024-10-29 12:01:27,"[{'pair_number': 1, 'option_1': [70, 20, 10], 'option_2': [50, 25, 25], 'user_choice': 2}, {'pair_number': 2, 'option_1': [40, 25, 35], 'option_2': [35, 45, 20], 'user_choice': 2}, {'pair_number': 3, 'option_1': [40, 25, 35], 'option_2': [65, 10, 25], 'user_choice': 2}, {'pair_number': 4, 'option_1': [40, 25, 35], 'option_2': [60, 10, 30], 'user_choice': 2}, {'pair_number': 5, 'option_1': [35, 45, 20], 'option_2': [35, 20, 45], 'user_choice': 2}, {'pair_number': 6, 'option_1': [35, 45, 20], 'option_2': [65, 10, 25], 'user_choice': 2}, {'pair_number': 7, 'option_1': [35, 45, 20], 'option_2': [60, 10, 30], 'user_choice': 2}, {'pair_number': 8, 'option_1': [35, 20, 45], 'option_2': [65, 10, 25], 'user_choice': 2}, {'pair_number': 9, 'option_1': [35, 20, 45], 'option_2': [60, 10, 30], 'user_choice': 2}, {'pair_number': 10, 'option_1': [50, 25, 25], 'option_2': [65, 10, 25], 'user_choice': 2}]"
5464,8100,1,"[40, 25, 35]",1,2024-10-29 14:50:30,"[{'pair_number': 1, 'option_1': [65, 20, 15], 'option_2': [40, 45, 15], 'user_choice': 1}, {'pair_number': 2, 'option_1': [65, 20, 15], 'option_2': [55, 30, 15], 'user_choice': 2}, {'pair_number': 3, 'option_1': [65, 20, 15], 'option_2': [15, 35, 50], 'user_choice': 2}, {'pair_number': 4, 'option_1': [85, 10, 5], 'option_2': [70, 0, 30], 'user_choice': 2}, {'pair_number': 5, 'option_1': [40, 40, 20], 'option_2': [25, 45, 30], 'user_choice': 1}, {'pair_number': 6, 'option_1': [40, 45, 15], 'option_2': [20, 35, 45], 'user_choice': 1}, {'pair_number': 7, 'option_1': [40, 45, 15], 'option_2': [55, 30, 15], 'user_choice': 1}, {'pair_number': 8, 'option_1': [40, 45, 15], 'option_2': [25, 45, 30], 'user_choice': 1}, {'pair_number': 9, 'option_1': [20, 35, 45], 'option_2': [55, 30, 15], 'user_choice': 2}, {'pair_number': 10, 'option_1': [20, 35, 45], 'option_2': [25, 45, 30], 'user_choice': 1}]"
5465,300d9c9b246687a50d06773b9d4a2e39,1,"[30, 70, 0]",1,2024-10-30 11:58:01,"[{'pair_number': 1, 'option_1': [20, 35, 45], 'option_2': [35, 35, 30], 'user_choice': 2}, {'pair_number': 2, 'option_1': [20, 35, 45], 'option_2': [50, 35, 15], 'user_choice': 2}, {'pair_number': 3, 'option_1': [45, 10, 45], 'option_2': [50, 10, 40], 'user_choice': 2}, {'pair_number': 4, 'option_1': [45, 10, 45], 'option_2': [60, 10, 30], 'user_choice': 2}, {'pair_number': 5, 'option_1': [35, 35, 30], 'option_2': [20, 45, 35], 'user_choice': 2}, {'pair_number': 6, 'option_1': [35, 35, 30], 'option_2': [25, 40, 35], 'user_choice': 2}, {'pair_number': 7, 'option_1': [35, 35, 30], 'option_2': [50, 35, 15], 'user_choice': 2}, {'pair_number': 8, 'option_1': [20, 45, 35], 'option_2': [25, 40, 35], 'user_choice': 2}, {'pair_number': 9, 'option_1': [20, 45, 35], 'option_2': [50, 35, 15], 'user_choice': 2}, {'pair_number': 10, 'option_1': [50, 10, 40], 'option_2': [60, 10, 30], 'user_choice': 2}]"
